Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID,,,,,
"Altinsoy H.B., Alatas O., Gurses M.S., Turkmen Inanir N.",23983952500;57193610827;55979536300;57188706721;,Forensic age estimation in living individuals by 1.5 T magnetic resonance imaging of the knee: a retrospective MRI study,2018,Australian Journal of Forensic Sciences,,,,,,,,10.1080/00450618.2018.1545868,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057614765&doi=10.1080%2f00450618.2018.1545868&partnerID=40&md5=2114668f0db0dfdede2d422a2a03bb7b,Dedouit method; Forensic age estimation; magnetic resonance imaging; the knee,,Article in Press,Article in Press,,Scopus,2-s2.0-85057614765,,,,,
"Anastácio A.C., Serras C., Vargas de Sousa Santos R.F., Palmela Pereira C.",57203904081;57203895269;56979441000;57193063473;,Validation of Cameriere's medical-legal age estimation method using seconds premolars in a Portuguese population,2018,Journal of Forensic and Legal Medicine,60,,,30,34,,1,10.1016/j.jflm.2018.09.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053482113&doi=10.1016%2fj.jflm.2018.09.005&partnerID=40&md5=1114203c0d5e898573964774d6097036,Age estimation; Cameriere's method; Forensic dentistry; Lower premolars; Panoramic radiographs; Upper premolars,"adolescent; adult; age; age determination; Article; comparative study; controlled study; female; human; major clinical study; male; mandibular second premolar; maxillary second premolar; medicolegal aspect; population; premolar tooth; tooth pulp; young adult; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; Portugal; premolar tooth; procedures; statistical model; validation study; Adolescent; Adult; Age Determination by Teeth; Bicuspid; Dental Pulp; Female; Humans; Linear Models; Male; Portugal; Radiography, Panoramic; Young Adult",Article,Final,,Scopus,2-s2.0-85053482113,,,,,
"Angelakopoulos N., De Luca S., Velandia Palacio L.A., Coccia E., Ferrante L., Cameriere R.",57192371472;36458215000;57053541800;10039007800;55327516300;6507826165;,Third molar maturity index (I 3M ) for assessing age of majority: study of a black South African sample,2018,International Journal of Legal Medicine,132,5,,1457,1464,,5,10.1007/s00414-018-1818-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043390258&doi=10.1007%2fs00414-018-1818-4&partnerID=40&md5=ee28707e0aa086ad349423b01475eb54,Age of majority; Dental age estimation; Legal medicine; South Africa; Third molar maturity index,"adolescent; adult; Black person; dental age estimation; dentistry; female; human; male; panoramic radiography; reproducibility; retrospective study; South Africa; third molar; young adult; Adolescent; Adult; African Continental Ancestry Group; Age Determination by Teeth; Female; Forensic Dentistry; Humans; Male; Molar, Third; Radiography, Panoramic; Reproducibility of Results; Retrospective Studies; South Africa; Young Adult",Article,Final,,Scopus,2-s2.0-85043390258,,,,,
"Antunovic M., Galic I., Zelic K., Nedeljkovic N., Lazic E., Djuric M., Cameriere R.",57192675681;57202373100;36633421800;12789358300;56721253100;12243542300;6507826165;,The third molars for indicating legal adult age in Montenegro,2018,Legal Medicine,33,,,55,61,,5,10.1016/j.legalmed.2018.05.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047762698&doi=10.1016%2fj.legalmed.2018.05.006&partnerID=40&md5=8502985a31db182e79a88f91fd942b68,Age estimation; Legal adult age; Montenegro; Orthopantomogram; Third molar maturity index,accuracy; adolescent; adult; age determination; Article; bone maturation; bone mineralization; female; human; male; mandibular third molar; Montenegro (republic); panoramic radiography; sensitivity and specificity,Article,Final,,Scopus,2-s2.0-85047762698,,,,,
"Apaydin B.K., Yasar F.",41961141900;8852162200;,"Accuracy of the demirjian, willems and cameriere methods of estimating dental age on Turkish children",2018,Nigerian Journal of Clinical Practice,21,3,,257,263,,4,10.4103/1119-3077.226966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043715197&doi=10.4103%2f1119-3077.226966&partnerID=40&md5=f9d113c34ecd42c20f3bd3dc1d7bf508,Age Determination by teeth; cameriere method; demirjian method; forensic dentistry; forensic science; panoramic radiography; willems method,"adolescent; child; dental age estimation; dentistry; diagnostic imaging; female; human; male; panoramic radiography; preschool child; procedures; tooth; tooth radiography; turkey (bird); Adolescent; Age Determination by Teeth; Child; Child, Preschool; Female; Forensic Dentistry; Humans; Male; Radiography, Dental, Digital; Radiography, Panoramic; Tooth; Turkey",Article,Final,,Scopus,2-s2.0-85043715197,,,,,
"Archana M., Nandita K.P., Jose N.P., Srikant N., Shweta Y.",57211481907;8247205000;56553915000;57205229184;57211481896;,Evaluation of the reliability of age estimation using cone beam computed tomography (CBCT),2018,Journal of Punjab Academy of Forensic Medicine and Toxicology,18,2,,74,79,,,10.5958/0974-083X.2018.00037.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073717538&doi=10.5958%2f0974-083X.2018.00037.7&partnerID=40&md5=a8ec1116597a94d7df3e785daa95ad8d,Age estimation; Cone beam computed tomography; Height of condyle; Mandibular body length; Third molar calcification,,Article,Final,,Scopus,2-s2.0-85073717538,,,,,
"Arge S., Boldsen J.L., Wenzel A., Holmstrup P., Jensen N.D., Lynnerup N.",56584568000;57201988165;7102489665;7006745411;16170235900;7003342155;,Third molar development in a contemporary Danish 13–25 year old population,2018,Forensic Science International,289,,,12,17,,3,10.1016/j.forsciint.2018.05.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047396253&doi=10.1016%2fj.forsciint.2018.05.005&partnerID=40&md5=63e538912bd20b392ec1b8169f3e766e,Age estimation by teeth; Forensic odontology; Forensic science; Panoramic radiography; Reproducibility of results; Third molar development,"adolescent; adult; age; age distribution; Article; calculation; controlled study; Danish citizen; developmental stage; female; human; major clinical study; male; priority journal; reproducibility; scoring system; sex difference; third molar; tooth development; tooth root; young adult; cross-sectional study; Denmark; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; procedures; retrospective study; sexual characteristics; third molar; Adolescent; Adult; Age Determination by Teeth; Cross-Sectional Studies; Denmark; Female; Humans; Male; Molar, Third; Radiography, Panoramic; Retrospective Studies; Sex Characteristics; Young Adult",Article,Final,,Scopus,2-s2.0-85047396253,,,,,
"Azevedo A.C.S., Michel-Crosato E., Biazevic M.G.H.",57197403472;8272763300;6506215440;,Radiographic evaluation of dental and cervical vertebral development for age estimation in a young Brazilian population,2018,Journal of Forensic Odonto-Stomatology,36,2,,31,39,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061061714&partnerID=40&md5=f46adef5a6d7a37792fd4640a9809f91,Forensic age estimation Chronological age Dental age determination; Third molar development Skeletal maturity,"adolescent; anatomy and histology; child; computer simulation; cross-sectional study; dental procedure; female; hard palate; human; male; malocclusion; pathology; three dimensional imaging; Adolescent; Child; Computer Simulation; Cross-Sectional Studies; Dental Models; Female; Humans; Imaging, Three-Dimensional; Male; Open Bite; Overbite; Palate, Hard",Article,Final,,Scopus,2-s2.0-85061061714,,,,,
"B H., N R.",57203414081;57203414922;,A versatile approach for dental age estimation using fuzzy neural network with teaching learning - based optimization classification,2018,Multimedia Tools and Applications,,,,,,,,10.1007/s11042-018-6434-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051664712&doi=10.1007%2fs11042-018-6434-2&partnerID=40&md5=879d0e416a8f71196ae3dd81eeeb733b,Active contour model (ACM); Adaptive neuro fuzzy inference system (ANFIS); Analytic hierarchy process (AHP; Anisotropic diffusion filter (ADF); Dental age (DA); Fuzzy neural network (FNN); Modified extreme learning machine (MELM); Radial basis function network (RBFN); Sparse representation classification (SRC); Teaching learning-based optimization (TLBO),Analytic hierarchy process; Functions; Fuzzy filters; Fuzzy logic; Fuzzy neural networks; Hierarchical systems; Image segmentation; Inference engines; Knowledge acquisition; Learning systems; Optical anisotropy; Radial basis function networks; Active contour model; Adaptive neuro fuzzy inference systems (ANFIS); Anisotropic diffusion filters; Dental age (DA); Extreme learning machine; Radial basis function Networks (RBFN); Sparse representation; Teaching-learning-based optimizations; Fuzzy inference,Article in Press,Article in Press,,Scopus,2-s2.0-85051664712,,,,,
"Bartolini V., Pinchi V., Gualco B., Vanin S., Chiaracane G., D’Elia G., Norelli G.-A., Focardi M.",57193974064;16507606500;27967710400;35609544500;6508308603;57194605924;36845634400;27967665200;,The iliac crest in forensic age estimation: evaluation of three methods in pelvis X-rays,2018,International Journal of Legal Medicine,132,1,,279,288,,4,10.1007/s00414-017-1629-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021107872&doi=10.1007%2fs00414-017-1629-z&partnerID=40&md5=e6dede154098276c49034de344acd0e1,Forensic age estimation; Iliac crest ossification; Risser sign; Scheletric age,adolescent; adult; bone age determination; bone development; child; diagnostic imaging; female; forensic anthropology; human; iliac bone; Italy; male; procedures; reproducibility; young adult; Adolescent; Adult; Age Determination by Skeleton; Child; Female; Forensic Anthropology; Humans; Ilium; Italy; Male; Osteogenesis; Reproducibility of Results; Young Adult,Article,Final,,Scopus,2-s2.0-85021107872,,,,,
"Benedicto E.N., Azevedo A.C.S., Michel-Crosato E., Biazevic M.G.H.",57210052964;57197403472;8272763300;6506215440;,Validity and accuracy of three radiographic dental age estimation methods in Brazilians,2018,Forensic Science International,283,,,128,135,,3,10.1016/j.forsciint.2017.12.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039773537&doi=10.1016%2fj.forsciint.2017.12.014&partnerID=40&md5=49b267858c71c9c82b8b29f4150ef0fb,Age estimation; Forensic anthropology population data; Forensic dentistry; Panoramic; Radiography; Tooth calcification,"adolescent; age; Article; Brazilian; child; controlled study; correlation coefficient; dental age estimation; female; forensic science; Haavikko method; human; Liliequist and Lundberg method; male; measurement accuracy; mineralization; Mornstad method; panoramic radiography; permanent tooth; priority journal; school child; sex; validity; Brazil; dental age estimation; procedures; regression analysis; secondary dentition; tooth development; validation study; Adolescent; Age Determination by Teeth; Brazil; Child; Dentition, Permanent; Female; Humans; Male; Radiography, Panoramic; Regression Analysis; Tooth Calcification",Article,Final,,Scopus,2-s2.0-85039773537,,,,,
"Benjavongkulchai S., Pittayapat P.",57201702355;26032356500;,Age estimation methods using hand and wrist radiographs in a group of contemporary Thais,2018,Forensic Science International,287,,,2.18E+03,2.18E+10,,3,10.1016/j.forsciint.2018.03.045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045843942&doi=10.1016%2fj.forsciint.2018.03.045&partnerID=40&md5=f2658dc91309ea0837f7627e806f5ef3,Age estimation; Fishman; Forensic anthropology population data; Greulich–Pyle; Tanner–Whitehouse; Thai,adolescent; adult; age determination; Article; child; female; hand radiography; human; major clinical study; male; measurement accuracy; priority journal; radius; reliability; retrospective study; school child; sensitivity and specificity; Thai (people); ulna; wrist radiography; young adult; Asian continental ancestry group; bone age determination; diagnostic imaging; forensic anthropology; hand bone; procedures; reproducibility; Thailand; Adolescent; Age Determination by Skeleton; Asian Continental Ancestry Group; Child; Female; Forensic Anthropology; Hand Bones; Humans; Male; Radius; Reproducibility of Results; Retrospective Studies; Thailand; Ulna; Young Adult,Article,Final,,Scopus,2-s2.0-85045843942,,,,,
"Boyacıoğlu Doğru H., Gulsahi A., Burçak Çehreli S., Galić I., van der Stelt P., Cameriere R.",57198517171;15922517400;15755128400;57202373100;7006719648;6507826165;,Age of majority assessment in Dutch individuals based on Cameriere's third molar maturity index,2018,Forensic Science International,282,,,2.31E+03,2.31E+08,,6,10.1016/j.forsciint.2017.11.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036608062&doi=10.1016%2fj.forsciint.2017.11.009&partnerID=40&md5=ecb2adc5be2bfe5cb77effc943ba04de,Adult age; Age estimation; Forensic Anthropology Population Data; Netherlands; Third molar maturity index; Third molars,"adolescent; adult; Article; Cameriere third molar maturity index; clinical assessment tool; dental age estimation; Dutchman; female; human; male; molar tooth; Netherlands; panoramic radiography; priority journal; probability; sensitivity and specificity; sex difference; tooth development; Youden index; young adult; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; procedures; receiver operating characteristic; statistical model; third molar; tooth apex; tooth root; Adolescent; Age Determination by Teeth; Female; Humans; Linear Models; Male; Molar, Third; Netherlands; Radiography, Panoramic; ROC Curve; Sensitivity and Specificity; Tooth Apex; Tooth Root; Young Adult",Article,Final,,Scopus,2-s2.0-85036608062,,,,,
"Cameriere R., Velandia Palacio L.A., Pinares J., Bestetti F., Paba R., Coccia E., Ferrante L.",6507826165;57053541800;56974513900;57118195200;57200546547;10039007800;55327516300;,Assessment of second (I2M) and third (I3M) molar indices for establishing 14 and 16 legal ages and validation of the Cameriere's I3M cut-off for 18 years old in Chilean population,2018,Forensic Science International,285,,,2.05E+03,2.05E+07,,8,10.1016/j.forsciint.2017.12.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041630588&doi=10.1016%2fj.forsciint.2017.12.043&partnerID=40&md5=224a934b6efbc81308ef64811020ab64,Age estimation; Forensic anthropology; Legal adulthood; Population data; Third molar index,"adolescent; adult; age determination; Article; child; Chilean; cross-sectional study; female; human; legal age threshold; male; panoramic radiography; predictive value; priority journal; probability; retrospective study; school child; second molar; sensitivity and specificity; third molar; validation study; young adult; Chile; dental age estimation; diagnostic imaging; growth, development and aging; molar tooth; panoramic radiography; procedures; reproducibility; statistical model; third molar; Adolescent; Age Determination by Teeth; Chile; Cross-Sectional Studies; Female; Humans; Logistic Models; Male; Molar; Molar, Third; Radiography, Panoramic; Reproducibility of Results; Retrospective Studies",Article,Final,,Scopus,2-s2.0-85041630588,,,,,
"Cardoso H.F.V., Caldas I.M., Andrade M.",23394620800;15130763600;55971578300;,Dental and skeletal maturation as simultaneous and separate predictors of chronological age in post-pubertal individuals: a preliminary study in assessing the probability of having attained 16 years of age in the living,2018,Australian Journal of Forensic Sciences,50,4,,371,384,,1,10.1080/00450618.2016.1237548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994874860&doi=10.1080%2f00450618.2016.1237548&partnerID=40&md5=bcff567e4c757409a97bd47324f4354d,Age estimation; dental maturation; logistic regression; minority status; radius; second molar; skeletal maturation; third molar; ulna,adolescent; age determination; bone maturation; clinical article; human; human tissue; logistic regression analysis; male; model; molar tooth; participant observation; probability; reliability; ulna,Article,Final,,Scopus,2-s2.0-84994874860,,,,,
"Chu G., Wang Y.-H., Li M.-J., Han M.-Q., Zhang Z.-Y., Chen T., Zhou H., Guo Y.-C.",57196059171;55954511800;57195512055;57203317671;56268673400;35236150000;56648539500;56009909700;,Third molar maturity index (I 3M ) for assessing age of majority in northern Chinese population,2018,International Journal of Legal Medicine,132,6,,1759,1768,,2,10.1007/s00414-018-1907-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051246074&doi=10.1007%2fs00414-018-1907-4&partnerID=40&md5=ba73c87ce69339797e2a23da01b9bf9e,Age estimation; Forensic odontology; Legal adulthood; Northern Chinese; Third molar maturity index,"adolescence; adolescent; adult; adulthood; age determination; ageism; article; Caucasian; child; Chinese; dentistry; female; human; human experiment; major clinical study; male; maturity; probability; sensitivity and specificity; third molar; Bayes theorem; China; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; procedures; statistical model; third molar; young adult; Adolescent; Adult; Age Determination by Teeth; Bayes Theorem; Child; China; Female; Humans; Likelihood Functions; Male; Molar, Third; Radiography, Panoramic; Sensitivity and Specificity; Young Adult",Article,Final,,Scopus,2-s2.0-85051246074,,,,,
"Duangto P., Janhom A., Prasitwattanaseree S., Iamaroon A.",56118171100;6603569098;6506321617;6701786341;,New equations for age estimation using four permanent mandibular teeth in Thai children and adolescents,2018,International Journal of Legal Medicine,132,6,,1743,1747,,3,10.1007/s00414-018-1805-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045050885&doi=10.1007%2fs00414-018-1805-9&partnerID=40&md5=35179c695660e441c1d280fec13ed280,Age estimation; Demirjian and Goldstein four-teeth methods; Forensic odontology; Thailand,"adolescent; Asian continental ancestry group; child; dental age estimation; female; human; male; mandible; mathematical phenomena; panoramic radiography; procedures; regression analysis; secondary dentition; Thailand; Adolescent; Age Determination by Teeth; Asian Continental Ancestry Group; Child; Dentition, Permanent; Female; Humans; Male; Mandible; Mathematical Concepts; Radiography, Panoramic; Regression Analysis; Thailand",Article,Final,,Scopus,2-s2.0-85045050885,,,,,
"Esan T.A., Schepartz L.A.",8448573900;6603233380;,The WITS Atlas: A Black Southern African dental atlas for permanent tooth formation and emergence,2018,American Journal of Physical Anthropology,166,1,,208,218,,2,10.1002/ajpa.23424,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045848648&doi=10.1002%2fajpa.23424&partnerID=40&md5=a9a8b2267344f118766c1ea17b198cff,age estimation; dental development; sub-Saharan Africa,"adolescent; adult; Africa south of the Sahara; Article; canine tooth; child; childhood; comparative study; cross-sectional study; female; human; male; panoramic radiography; permanent tooth; physical anthropology; premolar tooth; school child; Southern African; third molar; tooth development; anatomy and histology; Black person; dental age estimation; growth, development and aging; physical anthropology; physiology; preschool child; procedures; South Africa; statistics and numerical data; tooth; tooth eruption; young adult; Adolescent; Adult; African Continental Ancestry Group; Age Determination by Teeth; Anthropology, Physical; Child; Child, Preschool; Cross-Sectional Studies; Humans; Radiography, Panoramic; South Africa; Tooth; Tooth Eruption; Young Adult",Article,Final,,Scopus,2-s2.0-85045848648,,,,,
"Esan T.A., Schepartz L.A.",8448573900;6603233380;,Accuracy of the Demirjian and Willems methods of age estimation in a Black Southern African population,2018,Legal Medicine,31,,,82,89,,2,10.1016/j.legalmed.2018.01.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041406082&doi=10.1016%2fj.legalmed.2018.01.004&partnerID=40&md5=311bf46f4d8bf94af96585b74b20154f,Age estimation; Demirjian methods; Southern Africa; Willems method,"adolescent; anthropology; Article; child; cross-sectional study; dental age estimation; female; forensic identification; human; intermethod comparison; male; measurement accuracy; measurement error; panoramic radiography; prospective study; reproducibility; Southern African; Africa; Black person; dental age estimation; dentistry; preschool child; procedures; Adolescent; Africa, Southern; African Continental Ancestry Group; Age Determination by Teeth; Child; Child, Preschool; Female; Forensic Dentistry; Humans; Male; Prospective Studies; Radiography, Panoramic",Article,Final,,Scopus,2-s2.0-85041406082,,,,,
"Guo Y.-C., Chu G., Olze A., Schmidt S., Schulz R., Ottow C., Pfeiffer H., Chen T., Schmeling A.",56009909700;57196059171;6603617532;35496475900;8227131100;55346522800;55589517900;35236150000;7003946207;,Age estimation of Chinese children based on second molar maturity,2018,International Journal of Legal Medicine,132,3,,807,813,,4,10.1007/s00414-017-1703-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031500775&doi=10.1007%2fs00414-017-1703-6&partnerID=40&md5=ce8d7f9751219497a06e2ba603e832f7,Chinese population; Dental age estimation; Second molar mineralization,"adolescent; adult; child; China; dental age estimation; dentistry; diagnostic imaging; female; growth, development and aging; human; male; molar tooth; panoramic radiography; preschool child; procedures; sexual characteristics; tooth development; young adult; Adolescent; Adult; Age Determination by Teeth; Child; Child, Preschool; China; Female; Forensic Dentistry; Humans; Male; Molar; Radiography, Panoramic; Sex Characteristics; Tooth Calcification; Young Adult",Article,Final,,Scopus,2-s2.0-85031500775,,,,,
"Guo Y.-C., Chu G., Olze A., Schmidt S., Schulz R., Ottow C., Pfeiffer H., Chen T., Schmeling A.",56009909700;57196059171;6603617532;35496475900;8227131100;55346522800;55589517900;35236150000;7003946207;,Application of age assessment based on the radiographic visibility of the root pulp of lower third molars in a northern Chinese population,2018,International Journal of Legal Medicine,132,3,,825,829,,5,10.1007/s00414-017-1731-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033491900&doi=10.1007%2fs00414-017-1731-2&partnerID=40&md5=43df8bcfba6deb69e4733691a0d72e0b,Age assessment; Chinese population; Root pulp; Third molar,"adolescent; adult; China; dental age estimation; diagnostic imaging; female; growth, development and aging; human; male; panoramic radiography; procedures; third molar; tooth pulp; young adult; Adolescent; Adult; Age Determination by Teeth; China; Dental Pulp; Female; Humans; Male; Molar, Third; Radiography, Panoramic; Young Adult",Article,Final,,Scopus,2-s2.0-85033491900,,,,,
"Guo Y.-C., Chu G., Zhou H., Chen T.",56009909700;57196059171;56648539500;35236150000;,Chronology of mineralization of permanent mandibular second molar teeth and age estimation in northern Chinese children [中国北方青少年下颌第二磨牙的矿化进程与年龄的相关性],2018,Journal of Xi'an Jiaotong University (Medical Sciences),39,3,,425,429,,,10.7652/jdyxb201803026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056263173&doi=10.7652%2fjdyxb201803026&partnerID=40&md5=784b095f10c404979b7811d1453ba85a,Age estimation; Forensic odontology; Second molar; Tooth mineralization,adolescent; adult; age determination; article; chi square test; child; Chinese; chronology; controlled study; dentistry; developmental stage; female; human; human tissue; major clinical study; male; mandibular second molar; randomized controlled trial; tooth development,Article,Final,,Scopus,2-s2.0-85056263173,,,,,
"Guo Y.-C., Li M.-J., Olze A., Schmidt S., Schulz R., Zhou H., Pfeiffer H., Chen T., Schmeling A.",56009909700;57195512055;6603617532;35496475900;8227131100;56648539500;55589517900;35236150000;7003946207;,Studies on the radiographic visibility of the periodontal ligament in lower third molars: Can the olze method be used in the Chinese population?,2018,International Journal of Legal Medicine,132,2,,617,622,,5,10.1007/s00414-017-1664-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028548859&doi=10.1007%2fs00414-017-1664-9&partnerID=40&md5=c3e5a9f14b88ea5df5e12199665acec0,Age estimation; Chinese population; Periodontal ligament; Third molar,"adolescent; adult; Asian continental ancestry group; China; dental age estimation; diagnostic imaging; female; growth, development and aging; human; male; panoramic radiography; periodontal ligament; procedures; third molar; tooth development; young adult; Adolescent; Adult; Age Determination by Teeth; Asian Continental Ancestry Group; China; Female; Humans; Male; Molar, Third; Periodontal Ligament; Radiography, Panoramic; Tooth Calcification; Young Adult",Article,Final,,Scopus,2-s2.0-85028548859,,,,,
"Halilah T., Khdairi N., Jost-Brinkmann P.-G., Bartzela T.",57204533377;43961187800;7003451294;16041610300;,Age estimation in 5–16-year-old children by measurement of open apices: North German formula,2018,Forensic Science International,293,,,1.03E+03,1.03E+10,,1,10.1016/j.forsciint.2018.09.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055975918&doi=10.1016%2fj.forsciint.2018.09.022&partnerID=40&md5=8e926b8c4edc6edce26e61d22f772cb0,Cameriere et al.’s European formula; Dental age estimation; Forensic odontology; German formula; Open apices,"adolescent; article; canine tooth; child; controlled study; dental age estimation; dentistry; female; German (citizen); girl; human; human tissue; major clinical study; male; mandible; preschool child; regression analysis; root development; dental age estimation; diagnostic imaging; Germany; growth, development and aging; panoramic radiography; procedures; retrospective study; tooth apex; Adolescent; Age Determination by Teeth; Child; Child, Preschool; Female; Germany; Humans; Male; Radiography, Panoramic; Regression Analysis; Retrospective Studies; Tooth Apex",Article,Final,,Scopus,2-s2.0-85055975918,,,,,
"Hojreh A., Gamper J., Schmook M.T., Weber M., Prayer D., Herold C.J., Noebauer-Huhmann I.-M.",7801320804;57038662500;22951543200;7404140277;7003802197;7102091224;57192096782;,Hand MRI and the Greulich-Pyle atlas in skeletal age estimation in adolescents,2018,Skeletal Radiology,47,7,,963,971,,3,10.1007/s00256-017-2867-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040940992&doi=10.1007%2fs00256-017-2867-3&partnerID=40&md5=063d857cb9c3913e6808ac77cc3062e0,Bone age; Greulich-Pyle atlas; Hand MRI; Hand X-ray; Skeletal age,adolescent; adult; Article; bone age determination; child; clinical article; controlled study; feasibility study; female; hand; hand radiography; human; image quality; male; nuclear magnetic resonance imaging; observer variation; ossification; priority journal; prospective study; bone age determination; book; diagnostic imaging; hand; nuclear magnetic resonance imaging; procedures; Adolescent; Age Determination by Skeleton; Atlases as Topic; Female; Hand; Humans; Magnetic Resonance Imaging; Male,Article,Final,Open Access,Scopus,2-s2.0-85040940992,,,,,
"Jayaraman J., Roberts G.J.",51565457300;57061571400;,Comparison of dental maturation in Hong Kong Chinese and United Kingdom Caucasian populations,2018,Forensic Science International,292,,,61,70,,,10.1016/j.forsciint.2018.09.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054022976&doi=10.1016%2fj.forsciint.2018.09.005&partnerID=40&md5=9ef04d16f98d3a91cea58989a92751fc,Age estimation; Caucasian; Chinese; Dental maturation; Forensic anthropology population data; Reference dataset,"adolescent; adult; Article; Caucasian; child; Chinese; controlled study; dental age estimation; dental maturation; dental procedure; ethnic difference; female; Hong Kong; human; male; panoramic radiography; permanent tooth; population research; priority journal; teaching hospital; United Kingdom; Asian continental ancestry group; Caucasian; comparative study; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; preschool child; secondary dentition; tooth; young adult; Adolescent; Age Determination by Teeth; Asian Continental Ancestry Group; Child; Child, Preschool; Dentition, Permanent; European Continental Ancestry Group; Female; Hong Kong; Humans; Male; Radiography, Panoramic; Tooth; United Kingdom; Young Adult",Article,Final,,Scopus,2-s2.0-85054022976,,,,,
"Jayaraman J., Roberts G.J., Wong H.M., King N.M.",51565457300;57061571400;55565690700;7201762850;,Dental age estimation in southern Chinese population using panoramic radiographs: Validation of three population specific reference datasets,2018,BMC Medical Imaging,18,1,5,,,,3,10.1186/s12880-018-0250-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046096414&doi=10.1186%2fs12880-018-0250-z&partnerID=40&md5=21e745b1e9b4ed6aaf13f8c5e9cc7952,Age determination by teeth; Dental maturity; Panoramic radiographs; Southern Chinese,"adolescent; Asian continental ancestry group; Canada; child; dental age estimation; diagnostic imaging; ethnology; female; growth, development and aging; human; male; panoramic radiography; preschool child; procedures; statistics and numerical data; tooth; tooth radiography; United Kingdom; young adult; Adolescent; Age Determination by Teeth; Asian Continental Ancestry Group; Canada; Child; Child, Preschool; Female; Humans; Male; Radiography, Dental, Digital; Radiography, Panoramic; Tooth; United Kingdom; Young Adult",Article,Final,Open Access,Scopus,2-s2.0-85046096414,,,,,
"Kapoor P., Jain V.",55412107800;57203418515;,Comprehensive Chart for Dental Age Estimation (DAEcc8) based on Demirjian 8-teeth method: Simplified for operator ease,2018,Journal of Forensic and Legal Medicine,59,,,45,49,,,10.1016/j.jflm.2018.07.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051640720&doi=10.1016%2fj.jflm.2018.07.014&partnerID=40&md5=d5e6a258c9906029ebf4e0b0a07f0b9e,8-Teeth method; Chaillet-Demirjian method; Dental age estimation; Modified Demirjian method,"adult; article; comprehension; dental age estimation; dentistry; female; human; male; remission; adolescent; child; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; procedures; regression analysis; tooth; tooth development; Adolescent; Age Determination by Teeth; Child; Female; Humans; Male; Radiography, Panoramic; Regression Analysis; Tooth; Tooth Calcification",Article,Final,,Scopus,2-s2.0-85051640720,,,,,
"Kelmendi J., Cameriere R., Koçani F., Galić I., Mehmeti B., Vodanović M.",57190743101;6507826165;55188538500;57202373100;57194111492;12446817300;,The third molar maturity index in indicating the legal adult age in Kosovar population,2018,International Journal of Legal Medicine,132,4,,1151,1159,,4,10.1007/s00414-017-1761-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038094172&doi=10.1007%2fs00414-017-1761-9&partnerID=40&md5=6baae73b9bf5768ab618f1d30ebcb8dc,Kosovo; Legal adult age; Legal medicine; Third molar maturity index,"adolescent; child; dental age estimation; diagnostic imaging; female; growth, development and aging; human; image processing; Kosovo; male; panoramic radiography; procedures; receiver operating characteristic; sensitivity and specificity; statistical model; third molar; young adult; Adolescent; Age Determination by Teeth; Child; Female; Humans; Image Processing, Computer-Assisted; Kosovo; Logistic Models; Male; Molar, Third; Radiography, Panoramic; ROC Curve; Sensitivity and Specificity; Young Adult",Article,Final,,Scopus,2-s2.0-85038094172,,,,,
